X,Y,
0.5648659,-0.2624817,0
0.0875687,-0.1143884,
-0.389728425,0.033704875,
-0.867025425,0.181798175,
-1.3443226,0.32989155,
-1.8216197,0.4779849,
-2.2989167,0.6260782,
-2.7762139,0.774171525,
-3.253511025,0.922264725,
-3.730808125,1.070357775,
-4.208105425,1.21845075,
-4.6854027,1.366543525,
-5.16269995,1.51463605,
-5.639997425,1.6627284,
-6.117294925,1.810820475,
-6.594592425,1.95891225,
-7.07189015,2.107003775,
-7.549187925,2.255094975,
-8.026485675,2.40318585,
-8.5037837,2.5512765,
-8.981081725,2.69936685,
-9.45837975,2.847456925,
-9.935677975,2.995546875,
-10.41297618,3.143636625,
-10.89027433,3.2917263,
-11.36757263,3.439816,
-11.84487083,3.5879058,
-12.3221689,3.73599575,
-12.799467,3.88408605,
-13.2767649,4.03217675,
-13.7540626,4.18026795,
-14.2313602,4.328359875,
-14.7086575,4.476452575,
-15.18595445,4.62454615,
-15.6632512,4.772640775,
-16.14054755,4.920736475,
-16.6178435,5.06883335,
-17.09513918,5.216931475,
-17.5724344,5.36503085,
-18.04972918,5.513131425,
-18.5270237,5.6612332,
-19.00431785,5.80933605,
-19.48161165,5.957439825,
-19.95890533,6.1055444,
-20.43619878,6.253649425,
-20.91349213,6.40175465,
-21.39078563,6.549859775,
-21.86807923,6.697964375,
-22.3453731,6.846067975,
-22.8226675,6.99417015,
-23.29996245,7.1422704,
-23.7772581,7.2903682,
-24.25455478,7.43846305,
-24.73185248,7.586554425,
-25.20915135,7.73464185,
-25.6864517,7.88272495,
-26.16375343,8.030803325,
-26.64105665,8.1788767,
-27.1183616,8.32694495,
-27.59566808,8.475008,
-28.07297608,8.623066025,
-28.55028565,8.771119325,
-29.02759648,8.91916835,
-29.50490838,9.0672138,
-29.98222118,9.215256625,
-30.45953443,9.36329785,
-30.93684773,9.51133885,
-31.41416068,9.659381175,
-31.89147263,9.807426525,
-32.36878308,9.955476825,
-32.84609138,10.10353405,
-33.32339683,10.25160038,
-33.80069883,10.39967795,
-34.27799663,10.54776893,
-34.75528963,10.69587538,
-35.2325773,10.84399925,
-35.70985895,10.99214218,
-36.1871343,11.14030555,
-36.66440308,11.2884903,
-37.14166498,11.43669685,
-37.6189202,11.58492508,
-38.09616903,11.7331741,
-38.57341178,11.8814423,
-39.0506494,12.02972725,
-39.52788288,12.1780256,
-40.00511348,12.32633308,
-40.48234288,12.47464445,
-40.95957295,12.62295358,
-41.43680598,12.77125348,
-41.9140443,12.91953623,
-42.39129048,13.0677932,
-42.86854775,13.2160154,
-43.3458187,13.36419315,
-43.8231062,13.5123167,
-44.30041395,13.66037665,
-44.77774405,13.8083636,
-45.2550991,13.9562691,
-45.73248223,14.10408603,
-46.20989423,14.2518084,
-46.68733633,14.39943253,
-47.16480983,14.54695725,
-47.64231313,14.6943841,
-48.11984488,14.84171818,
-48.59740293,14.9889685,
-49.07498243,15.13614823,
-49.55257815,15.28327525,
-50.03018323,15.4303722,
-50.50778888,15.57746695,
-50.98538535,15.72459235,
-51.46296033,15.87178583,
-51.94050135,16.01909,
-52.4179946,16.1665514,
-52.89542258,16.31421913,
-53.37277103,16.46214608,
-53.85002375,16.61038588,
-54.32715993,16.7589909,
-54.804167,16.90801443,
-55.28103025,17.0575054,
-55.75772858,17.2075055,
-56.234257,17.35805345,
-56.71060613,17.50917723,
-57.18676108,17.66089118,
-57.66273045,17.81319843,
-58.13851665,17.96608655,
-58.61411633,18.11953205,
-59.0895454,18.2735179,
-59.56480678,18.4280299,
-60.03989265,18.58305825,
-60.51481525,18.73859953,
-60.98957823,18.89463645,
-61.46418285,19.05113355,
-61.93865673,19.2080406,
-62.4130215,19.3652809,
-62.88730598,19.5227533,
-63.36155775,19.68033268,
-63.83582173,19.83786808,
-64.31015988,19.9951918,
-64.78462775,20.15211815,
-65.25928373,20.30845685,
-65.73420425,20.4640245,
-66.20942975,20.61863603,
-66.68501273,20.77212438,
-67.16101768,20.92434303,
-67.63746228,21.07515018,
-68.11438385,21.22442858,
-68.59182245,21.37208035,
-69.06978088,21.51801553,
-69.54827925,21.66216905,
-70.02732935,21.80448983,
-70.50693238,21.94492568,
-70.9871018,22.08342585,
-71.4678347,22.21993388,
-71.94914385,22.35440715,
-72.4310358,22.48680835,
-72.9134849,22.61709638,
-73.39651725,22.7452441,
-73.8801354,22.87121618,
-74.36429595,22.994963,
-74.84904568,23.11645555,
-75.33438483,23.23565113,
-75.8202498,23.3524901,
-76.30671155,23.46693955,
-76.793765,23.57895475,
-77.28132203,23.68847003,
-77.76949078,23.79539718,
-78.25829218,23.8995658,
-78.747628,24.00072653,
-79.2376791,24.09866095,
-79.72847105,24.1930949,
-80.21983405,24.28370165,
-80.71203113,24.3702401,
-81.20504255,24.45242188,
-81.69859988,24.52993813,
-82.19302475,24.60263248,
-82.68825045,24.67031685,
-83.18386408,24.73276903,
-83.68044005,24.78980628,
-84.17761203,24.8411415,
-84.67516335,24.88658435,
-85.1734685,24.92596633,
-85.67211093,24.95919993,
-86.17130155,24.98653568,
-86.67087068,25.00810555,
-87.17069458,25.02366643,
-87.671459,25.03233373,
-88.17038518,25.0336004,
-88.6707687,25.02728865,
-89.17124513,25.01304363,
-89.669194,24.99017223,
-90.16717368,24.95767018,
-90.66621945,24.91483853,
-91.16313495,24.8618156,
-91.65786018,24.79867768,
-92.15190575,24.72546298,
-92.64423923,24.64259648,
-93.13192973,24.54927803,
-93.61985158,24.4435106,
-94.10794203,24.32554908,
-94.5879246,24.19853108,
-95.0698154,24.06025008,
-95.54943125,23.91201628,
-96.02325833,23.75548988,
-96.49620068,23.5902329,
-96.96532528,23.41776295,
-97.43175038,23.2371872,
-97.8944722,23.04869958,
-98.35421953,22.85216265,
-98.81090275,22.648172,
-99.26348475,22.43805838,
-99.71474775,22.2213754,
-100.1628049,21.99935383,
-100.6067327,21.77257465,
-101.0500165,21.53924308,
-101.4895936,21.30123703,
-101.9254453,21.05910105,
-102.3607315,20.81240648,
-102.7948287,20.56503313,
-103.2294351,20.31944378,
-103.6662826,20.07692095,
-104.1056654,19.83807178,
-104.5472293,19.60397908,
-104.9912793,19.37578558,
-105.4397033,19.15426065,
-105.8921416,18.94149953,
-106.3487485,18.73899413,
-106.8099507,18.54773623,
-107.2767786,18.36825565,
-107.7479843,18.20189628,
-108.2234569,18.04947733,
-108.7037528,17.91175925,
-109.1878137,17.79001515,
-109.67601,17.68478303,
-110.1683143,17.59666403,
-110.6635518,17.52755453,
-111.1607264,17.48085373,
-111.6600001,17.4588729,
-112.1599574,17.46228188,
-112.6588158,17.4904826,
-113.1556074,17.54313598,
